Feature,Duration,ATE,Type
High Gain Antenna Azimuth(Deg),40,0.0,IBS_N
High Gain Antenna elevation(Deg),40,0.0,IBS_N
Radial Distance from Sun(AU),45,-0.1183304351915762,IBS_N
Electronic Box Temperature(DegC),45,0.4567137072652219,IBS_N
Solar Wind Analyser temperature(DegC),45,0.0,IBS_N
Out Board Sensor Temperature(Deg C),45,-0.122395432548671,IBS_N
In Board Sensor Temperature(Deg C),45,0.6154958119198561,IBS_N
Out Board Sensor minus In Board Sensor Temp.(DegC),45,0.0,IBS_N
Heater Dutycycle,45,-0.0462484356037873,IBS_N
Search Coil Magnetometer's Temperature(Deg C),45,0.4177126655466197,IBS_N
Solar Array's Angle(Deg),45,0.0,IBS_N
High Gain Antenna Azimuth(Deg),45,0.0,IBS_N
High Gain Antenna elevation(Deg),45,0.0,IBS_N
Radial Distance from Sun(AU),50,0.0127012181714659,IBS_N
Electronic Box Temperature(DegC),50,0.5326074642050709,IBS_N
Solar Wind Analyser temperature(DegC),50,0.0,IBS_N
Out Board Sensor Temperature(Deg C),50,-0.3791756548318618,IBS_N
In Board Sensor Temperature(Deg C),50,0.6552018969518211,IBS_N
Out Board Sensor minus In Board Sensor Temp.(DegC),50,0.0,IBS_N
Heater Dutycycle,50,-0.0390540606016811,IBS_N
Search Coil Magnetometer's Temperature(Deg C),50,0.2382418858825074,IBS_N
Solar Array's Angle(Deg),50,0.0,IBS_N
High Gain Antenna Azimuth(Deg),50,0.0,IBS_N
High Gain Antenna elevation(Deg),50,0.0,IBS_N
Radial Distance from Sun(AU),55,0.102502206530013,IBS_N
Electronic Box Temperature(DegC),55,0.5842661486453501,IBS_N
Solar Wind Analyser temperature(DegC),55,0.0,IBS_N
Out Board Sensor Temperature(Deg C),55,-0.4896964507095696,IBS_N
In Board Sensor Temperature(Deg C),55,0.6182749861475765,IBS_N
Out Board Sensor minus In Board Sensor Temp.(DegC),55,0.0,IBS_N
Heater Dutycycle,55,-0.0356243208981569,IBS_N
Search Coil Magnetometer's Temperature(Deg C),55,0.010595632171901,IBS_N
Solar Array's Angle(Deg),55,0.0,IBS_N
