Feature,Duration,ATE,Type
Radial Distance from Sun(AU),10,0.0147524337857625,IBS_N
Electronic Box Temperature(DegC),10,-0.3663998209959925,IBS_N
Solar Wind Analyser temperature(DegC),10,0.0,IBS_N
Out Board Sensor Temperature(Deg C),10,-1.992974711839086,IBS_N
In Board Sensor Temperature(Deg C),10,-0.1806789665952428,IBS_N
Out Board Sensor minus In Board Sensor Temp.(DegC),10,0.0,IBS_N
Heater Dutycycle,10,-0.0314925574119592,IBS_N
Search Coil Magnetometer's Temperature(Deg C),10,0.3889423405526838,IBS_N
Solar Array's Angle(Deg),10,0.0,IBS_N
High Gain Antenna Azimuth(Deg),10,0.0,IBS_N
High Gain Antenna elevation(Deg),10,0.0,IBS_N
Radial Distance from Sun(AU),20,-0.0073349727602604,IBS_N
Electronic Box Temperature(DegC),20,-0.1216859072299215,IBS_N
Solar Wind Analyser temperature(DegC),20,0.0,IBS_N
Out Board Sensor Temperature(Deg C),20,-0.1249323385256643,IBS_N
In Board Sensor Temperature(Deg C),20,-0.7435551411237752,IBS_N
Out Board Sensor minus In Board Sensor Temp.(DegC),20,0.0,IBS_N
Heater Dutycycle,20,-0.0143477397623112,IBS_N
Search Coil Magnetometer's Temperature(Deg C),20,-0.7861058880648341,IBS_N
Solar Array's Angle(Deg),20,0.0,IBS_N
High Gain Antenna Azimuth(Deg),20,0.0,IBS_N
High Gain Antenna elevation(Deg),20,0.0,IBS_N
Radial Distance from Sun(AU),30,-0.0179860755009359,IBS_N
Electronic Box Temperature(DegC),30,-0.2824993597262774,IBS_N
Solar Wind Analyser temperature(DegC),30,0.0,IBS_N
Out Board Sensor Temperature(Deg C),30,-1.7793376813567352,IBS_N
In Board Sensor Temperature(Deg C),30,0.3431497085783261,IBS_N
Out Board Sensor minus In Board Sensor Temp.(DegC),30,0.0,IBS_N
Heater Dutycycle,30,0.0236080613324177,IBS_N
Search Coil Magnetometer's Temperature(Deg C),30,0.4492211979572915,IBS_N
Solar Array's Angle(Deg),30,0.0,IBS_N
High Gain Antenna Azimuth(Deg),30,0.0,IBS_N
High Gain Antenna elevation(Deg),30,0.0,IBS_N
Radial Distance from Sun(AU),40,-0.0239094424878193,IBS_N
Electronic Box Temperature(DegC),40,-0.4365538643632422,IBS_N
Solar Wind Analyser temperature(DegC),40,0.0,IBS_N
Out Board Sensor Temperature(Deg C),40,-1.571769968579435,IBS_N
In Board Sensor Temperature(Deg C),40,-1.3986661318793534,IBS_N
Out Board Sensor minus In Board Sensor Temp.(DegC),40,0.0,IBS_N
Heater Dutycycle,40,-3.946019579233458e-05,IBS_N
Search Coil Magnetometer's Temperature(Deg C),40,-1.1820067829410137,IBS_N
Solar Array's Angle(Deg),40,0.0,IBS_N
High Gain Antenna Azimuth(Deg),40,0.0,IBS_N
High Gain Antenna elevation(Deg),40,0.0,IBS_N
Radial Distance from Sun(AU),50,-0.0226726936546601,IBS_N
Electronic Box Temperature(DegC),50,0.1484002805764448,IBS_N
Solar Wind Analyser temperature(DegC),50,0.0,IBS_N
Out Board Sensor Temperature(Deg C),50,-0.322609293212951,IBS_N
In Board Sensor Temperature(Deg C),50,-1.1604874917435108,IBS_N
Out Board Sensor minus In Board Sensor Temp.(DegC),50,0.0,IBS_N
Heater Dutycycle,50,-0.0058014664173249,IBS_N
Search Coil Magnetometer's Temperature(Deg C),50,-0.6722915689273137,IBS_N
Solar Array's Angle(Deg),50,0.0,IBS_N
High Gain Antenna Azimuth(Deg),50,0.0,IBS_N
High Gain Antenna elevation(Deg),50,0.0,IBS_N
Radial Distance from Sun(AU),60,-0.009059659671671,IBS_N
Electronic Box Temperature(DegC),60,-0.3662795511619376,IBS_N
Solar Wind Analyser temperature(DegC),60,0.0,IBS_N
Out Board Sensor Temperature(Deg C),60,-1.8484427194508009,IBS_N
In Board Sensor Temperature(Deg C),60,0.3437112796928178,IBS_N
Out Board Sensor minus In Board Sensor Temp.(DegC),60,0.0,IBS_N
Heater Dutycycle,60,0.0040751483970266,IBS_N
Search Coil Magnetometer's Temperature(Deg C),60,-1.3115305323799291,IBS_N
Solar Array's Angle(Deg),60,0.0,IBS_N
High Gain Antenna Azimuth(Deg),60,0.0,IBS_N
High Gain Antenna elevation(Deg),60,0.0,IBS_N
Radial Distance from Sun(AU),70,-0.0087970327830058,IBS_N
Electronic Box Temperature(DegC),70,-0.3006210182900449,IBS_N
Solar Wind Analyser temperature(DegC),70,0.0,IBS_N
Out Board Sensor Temperature(Deg C),70,1.1793723371738314,IBS_N
In Board Sensor Temperature(Deg C),70,-0.2538834058216428,IBS_N
Out Board Sensor minus In Board Sensor Temp.(DegC),70,0.0,IBS_N
Heater Dutycycle,70,-0.0097250039506624,IBS_N
Search Coil Magnetometer's Temperature(Deg C),70,1.23659561564651,IBS_N
Solar Array's Angle(Deg),70,0.0,IBS_N
High Gain Antenna Azimuth(Deg),70,0.0,IBS_N
High Gain Antenna elevation(Deg),70,0.0,IBS_N
Radial Distance from Sun(AU),80,-0.0126994335560385,IBS_N
Electronic Box Temperature(DegC),80,-0.1373122902277015,IBS_N
Solar Wind Analyser temperature(DegC),80,0.0,IBS_N
Out Board Sensor Temperature(Deg C),80,-0.8469338634290055,IBS_N
In Board Sensor Temperature(Deg C),80,0.372688112385492,IBS_N
Out Board Sensor minus In Board Sensor Temp.(DegC),80,0.0,IBS_N
Heater Dutycycle,80,-0.0494793434017568,IBS_N
Search Coil Magnetometer's Temperature(Deg C),80,0.3730878500713528,IBS_N
Solar Array's Angle(Deg),80,0.0,IBS_N
High Gain Antenna Azimuth(Deg),80,0.0,IBS_N
High Gain Antenna elevation(Deg),80,0.0,IBS_N
Radial Distance from Sun(AU),90,-0.018568684061636,IBS_N
Electronic Box Temperature(DegC),90,-0.1312583387515579,IBS_N
Solar Wind Analyser temperature(DegC),90,0.0,IBS_N
Out Board Sensor Temperature(Deg C),90,-0.223570386268686,IBS_N
In Board Sensor Temperature(Deg C),90,-0.5907738689002071,IBS_N
Out Board Sensor minus In Board Sensor Temp.(DegC),90,0.0,IBS_N
Heater Dutycycle,90,-9.868450453981849e-05,IBS_N
Search Coil Magnetometer's Temperature(Deg C),90,-0.7570409874135381,IBS_N
Solar Array's Angle(Deg),90,0.0,IBS_N
High Gain Antenna Azimuth(Deg),90,0.0,IBS_N
High Gain Antenna elevation(Deg),90,0.0,IBS_N
Radial Distance from Sun(AU),100,-0.0193463706303991,IBS_N
Electronic Box Temperature(DegC),100,-0.5724289973170194,IBS_N
Solar Wind Analyser temperature(DegC),100,0.0,IBS_N
Out Board Sensor Temperature(Deg C),100,1.080112385430627,IBS_N
In Board Sensor Temperature(Deg C),100,0.0730709269692555,IBS_N
Out Board Sensor minus In Board Sensor Temp.(DegC),100,0.0,IBS_N
Heater Dutycycle,100,0.023325487098518,IBS_N
Search Coil Magnetometer's Temperature(Deg C),100,-0.8107512736139472,IBS_N
Solar Array's Angle(Deg),100,0.0,IBS_N
High Gain Antenna Azimuth(Deg),100,0.0,IBS_N
High Gain Antenna elevation(Deg),100,0.0,IBS_N
Radial Distance from Sun(AU),110,-0.0206540673504799,IBS_N
Electronic Box Temperature(DegC),110,-0.398389886113512,IBS_N
Solar Wind Analyser temperature(DegC),110,0.0,IBS_N
Out Board Sensor Temperature(Deg C),110,-2.105446456479515,IBS_N
In Board Sensor Temperature(Deg C),110,-0.0298033980589625,IBS_N
Out Board Sensor minus In Board Sensor Temp.(DegC),110,0.0,IBS_N
Heater Dutycycle,110,0.0424007636049203,IBS_N
Search Coil Magnetometer's Temperature(Deg C),110,-0.3824507513232824,IBS_N
Solar Array's Angle(Deg),110,0.0,IBS_N
High Gain Antenna Azimuth(Deg),110,0.0,IBS_N
High Gain Antenna elevation(Deg),110,0.0,IBS_N
Radial Distance from Sun(AU),120,-0.0222394156526263,IBS_N
Electronic Box Temperature(DegC),120,-0.1733314335248291,IBS_N
Solar Wind Analyser temperature(DegC),120,0.0,IBS_N
Out Board Sensor Temperature(Deg C),120,-1.830205105303214,IBS_N
In Board Sensor Temperature(Deg C),120,0.1587784999754473,IBS_N
Out Board Sensor minus In Board Sensor Temp.(DegC),120,0.0,IBS_N
Heater Dutycycle,120,0.0045310535201257,IBS_N
Search Coil Magnetometer's Temperature(Deg C),120,1.0017711914515195,IBS_N
Solar Array's Angle(Deg),120,0.0,IBS_N
High Gain Antenna Azimuth(Deg),120,0.0,IBS_N
High Gain Antenna elevation(Deg),120,0.0,IBS_N
Radial Distance from Sun(AU),130,-0.0238162942792336,IBS_N
Electronic Box Temperature(DegC),130,-0.7501835609531808,IBS_N
Solar Wind Analyser temperature(DegC),130,0.0,IBS_N
Out Board Sensor Temperature(Deg C),130,-0.1491359023978064,IBS_N
In Board Sensor Temperature(Deg C),130,0.7662784013930601,IBS_N
Out Board Sensor minus In Board Sensor Temp.(DegC),130,0.0,IBS_N
Heater Dutycycle,130,-0.0134300763806767,IBS_N
Search Coil Magnetometer's Temperature(Deg C),130,1.785183135736427,IBS_N
Solar Array's Angle(Deg),130,0.0,IBS_N
High Gain Antenna Azimuth(Deg),130,0.0,IBS_N
High Gain Antenna elevation(Deg),130,0.0,IBS_N
Radial Distance from Sun(AU),140,-0.0256883770867786,IBS_N
Electronic Box Temperature(DegC),140,0.6825167751226034,IBS_N
Solar Wind Analyser temperature(DegC),140,0.0,IBS_N
Out Board Sensor Temperature(Deg C),140,-0.9877129337488768,IBS_N
In Board Sensor Temperature(Deg C),140,0.8242959016898561,IBS_N
Out Board Sensor minus In Board Sensor Temp.(DegC),140,0.0,IBS_N
Heater Dutycycle,140,0.0175691877191526,IBS_N
Search Coil Magnetometer's Temperature(Deg C),140,-0.2873855437969079,IBS_N
Solar Array's Angle(Deg),140,0.0,IBS_N
High Gain Antenna Azimuth(Deg),140,0.0,IBS_N
High Gain Antenna elevation(Deg),140,0.0,IBS_N
Radial Distance from Sun(AU),150,-0.0279624777871551,IBS_N
Electronic Box Temperature(DegC),150,0.438914897576301,IBS_N
Solar Wind Analyser temperature(DegC),150,0.0,IBS_N
Out Board Sensor Temperature(Deg C),150,-0.0954393174400821,IBS_N
In Board Sensor Temperature(Deg C),150,-0.0666505367690439,IBS_N
Out Board Sensor minus In Board Sensor Temp.(DegC),150,0.0,IBS_N
Heater Dutycycle,150,-0.0730140839397552,IBS_N
Search Coil Magnetometer's Temperature(Deg C),150,0.2650791748118126,IBS_N
Solar Array's Angle(Deg),150,0.0,IBS_N
High Gain Antenna Azimuth(Deg),150,0.0,IBS_N
High Gain Antenna elevation(Deg),150,0.0,IBS_N
Radial Distance from Sun(AU),160,-0.0301746738108267,IBS_N
Electronic Box Temperature(DegC),160,-1.1461566015036335,IBS_N
